cwe,capecs
276,[  1. 127.  81.]
285,"[  1. 104. 127.  13.  17.  39. 402.  45.   5.  51.  59.  60. 647. 668.
  76.  77.  87.]"
434,[1.]
693,"[  1. 107. 127.  17.  20.  22. 237.  36. 477. 480.  51.  57.  59.  65.
 668.  74.  87.]"
732,[  1. 122. 127.  17. 180. 206. 234.  60.  61.  62. 642.]
1193,[  1. 180.]
1220,[  1. 180.]
1297,[  1. 180.]
1311,[  1. 180. 233.]
1314,[1.]
1315,[  1. 180.]
1318,[  1. 180.]
1320,[  1. 180.]
1321,[  1. 180.  77.]
1327,[1.]
120,[ 10. 100.  14.  24.  42.  44.  45.  46.  47.  67.   8.   9.  92.]
302,[ 10.  13.  21. 274.  31.  39.  45.  77.]
118,[10. 14. 24. 45. 46. 47.  8.  9.]
119,[ 10. 100. 123.  14.  24.  42.  44.  45.  46.  47.   8.   9.]
74,"[ 10. 101. 105. 108. 120.  13. 135.  14.  24. 250. 267. 273.  28.   3.
  34.  42.  43.  45.  46.  47.  51.  52.  53.   6.  64.  67.   7.  71.
  72.  76.  78.  79.   8.  80.  83.  84.   9.]"
99,[ 10. 240.  75.]
20,"[ 10. 101. 104. 108. 109. 110. 120.  13. 135. 136.  14. 153. 182. 209.
  22.  23. 230. 231.  24. 250. 261. 267.  28.   3.  31.  42.  43.  45.
  46.  47. 473.  52.  53. 588.  63.  64. 664.  67.   7.  71.  72.  73.
  78.  79.   8.  80.  81.  83.  85.  88.   9.]"
680,[ 10. 100.  14.  24.  45.  46.  47.  67.   8.   9.  92.]
733,[10. 24. 46.  8.  9.]
697,"[ 10. 120.  14.  15. 182.  24. 267.   3.  41.  43.  44.  45.  46.  47.
  52.  53.   6.  64.  67.   7.  71.  73.  78.  79.   8.  80.  88.   9.
  92.]"
131,[100.  47.]
129,[100.]
805,[100. 256.]
97,[101.  35.]
294,[102. 509. 555. 561.  60. 644. 645. 652.  94.]
522,[102. 474.  50. 509. 551. 555. 560. 561. 600. 644. 645. 652. 653.]
523,[102.]
319,[102. 117. 383. 477.  65.]
614,[102.]
1021,[103. 181. 222. 504. 506. 654.]
250,[104. 470.  69.]
638,[104.]
116,[104.  73.  81.  85.]
138,[105.  15.  34.]
436,[105. 273.  34.]
648,[107. 234.]
89,[108. 109. 110. 470.  66.   7.]
78,[108.  15.  43.   6.  88.]
114,[108.]
564,[109.]
430,[11.]
345,[111. 141. 142. 148. 218. 384. 385. 386. 387. 388. 665.]
346,"[111. 141. 142. 160.  21. 384. 385. 386. 387. 388. 510.  59.  60.  75.
  76.  89.]"
352,[111. 462. 467.  62.]
330,[112. 485.  59.]
326,[112. 192.  20.]
521,[112.  16.  49. 509.  55. 555. 561. 565.  70.]
1192,[113.]
287,[114. 115. 151. 194.  22.  57. 593. 633. 650.  94.]
1244,[114.]
200,"[116.  13. 169.  22. 224. 285. 287. 290. 291. 292. 293. 294. 295. 296.
 297. 298. 299. 300. 301. 302. 303. 304. 305. 306. 307. 308. 309. 310.
 312. 313. 317. 318. 319. 320. 321. 322. 323. 324. 325. 326. 327. 328.
 329. 330. 472. 497. 508. 573. 574. 575. 576. 577.  59.  60. 616. 643.
 646. 651.  79.]"
1243,[116. 545.]
201,[ 12. 217. 612. 613. 618. 619. 621. 622. 623.]
306,[ 12. 166.  36.  62.]
173,[120. 267.   3.   4.  52.  53.  64.  71.  72.  78.  79.  80.]
172,[120. 267.   3.  52.  53.  64.  71.  72.  78.  80.]
177,[120. 468.  64.  72.]
181,[120. 267.   3.  43.  78.  79.  80.]
183,[120.   3.  43.  71.]
184,[120.  15. 182.   3.  43.   6.  71.  73.  85.]
692,[120. 267.  71.  80.  85.]
489,[121. 661.]
1209,[121.]
1259,[121. 681.]
1267,[121. 681.]
1270,[121. 633. 681.]
1294,[121. 681.]
1295,[121.]
1296,[121.]
1302,[121. 681.]
1313,[121.]
269,[122. 233.  58.]
1317,[122.]
1189,[124.]
1331,[124.]
404,[125. 130. 131. 494. 495. 496. 666.]
770,"[125. 130. 147. 197. 229. 230. 231. 469. 482. 486. 487. 488. 489. 490.
 491. 493. 494. 495. 496. 528.]"
22,[126.  64.  76.  78.  79.]
424,[127. 554.]
425,[127. 668.  87.]
288,[127. 665.]
682,[128. 129.]
822,[129.]
823,[129.]
353,[ 13.  14. 389.  39. 665.  74.  75.]
15,[ 13. 146. 176. 203. 270. 271.  69.  76.  77.]
73,[ 13. 267.  64.  72.  76.  78.  79.  80.]
1325,[130.]
59,[132.  17.  35.  76.]
912,[133. 190.]
150,[134.  41.  81.  93.]
134,[135.  67.]
77,[136.  15. 183. 248.  40.  43.  75.  76.]
90,[136.]
88,[137. 174.  41. 460.  88.]
23,[139.  76.]
372,[140.  74.]
348,[141. 142.  73.  76.  85.]
349,[141. 142.  75.]
441,[141. 142. 219. 465.]
350,[142. 275.  73.  89.]
354,[145. 463.  75.]
472,[146. 226.  31.  39.]
400,[147. 492.]
146,[15.  6.]
185,[15.  6. 79.]
93,[15. 81.]
140,[15.]
157,[15.]
154,[15.]
552,[150. 639.]
1239,[150. 204.  37. 545.]
1258,[150. 204.  37. 545. 545.]
1266,[150.  37. 545. 546.]
1272,[150.  37. 545. 546.]
1323,[150. 167. 545.]
1324,[150. 167. 545.]
1330,[150.  37. 545.]
377,[155.]
311,[157. 158. 204.  31.  37. 383. 384. 385. 386. 387. 388. 477. 609.  65.]
706,[159. 177.  48. 641.]
262,[ 16.  49. 509.  55. 555. 560. 561. 565. 600. 652. 653.  70.]
263,[ 16.  49. 509.  55. 555. 560. 561. 565. 600. 652. 653.  70.]
654,[ 16. 274.  49.  55. 560. 565. 600. 652. 653.  70.]
307,[ 16.  49. 560. 565. 600. 652. 653.]
308,"[ 16.  49. 509.  55. 555. 560. 561. 565. 600. 644. 644. 645. 652. 653.
  70.]"
309,[ 16.  49. 509.  55. 555. 560. 561. 565. 600. 652. 653.  70.]
602,[162. 202. 207. 208.  21.  31. 383. 384. 385. 386. 387. 388.]
1221,[166.]
1232,[166.]
212,[168.]
